energy,diameter,dfec_lynch,dfec_structure
25,1.45656565657,3867.50028112,883.282926869
25,1.53636363636,4079.41648981,928.252080095
25,1.61616161616,4291.3300634,1001.95693667
25,1.69595959596,4503.24295177,1092.4698134
25,1.77575757576,4715.15508799,1186.59029362
25,1.85555555556,4927.06534882,1274.57730247
25,1.93535353535,5138.97451526,1348.15820499
25,2.01515151515,5350.88359734,1404.66432111
25,2.09494949495,5562.79176607,1441.89259507
25,2.17474747475,5774.69867172,1464.28297841
25,2.25454545455,5986.60537612,1469.1671672
25,2.33434343434,6198.5119562,1471.0616155
25,2.41414141414,6410.41754205,1463.4374549
25,2.49393939394,6622.32248306,1457.14475081
25,2.57373737374,6834.22765568,1462.20795896
25,2.65353535354,7046.13246195,1470.37403095
25,2.73333333333,7258.03623054,1491.05276056
25,2.81313131313,7469.93993351,1532.41769121
25,2.89292929293,7681.84442404,1587.15470155
25,2.97272727273,7893.75026286,1658.54216378
25,3.05252525253,8103.22938345,1747.71385069
25,3.13232323232,8303.98131446,1841.41182387
25,3.21212121212,8493.4859028,1939.74658314
25,3.29191919192,8670.78109051,2043.87474942
25,3.37171717172,8835.60531267,2146.59563586
25,3.45151515152,8988.08452869,2247.84897726
25,3.53131313131,9128.57006091,2355.95442481
25,3.61111111111,9257.54396393,2467.13320826
25,3.69090909091,9375.56105212,2560.87385594
25,3.77070707071,9483.21161934,2637.3218427
25,3.85050505051,9581.09686269,2722.93658119
25,3.9303030303,9669.81297175,2830.94886218
25,4.0101010101,9749.94093551,2949.70614278
25,4.0898989899,9822.04007031,3057.00668905
25,4.1696969697,9886.64400554,3135.17786033
25,4.24949494949,9944.25868419,3193.13928705
25,4.32929292929,9995.36150537,3256.45338675
25,4.40909090909,10040.4012023,3334.56020303
